nivel,anio,archivo,hoja_rbd,n_variables_rbd,variables_rbd
2° medio,2014,simce2m2014_GLOSAS-PUBLICA_WEB.xlsx,_rbd,61,Nombre archivo; Descripción; Número de variables; Número de observaciones; Variables; Nombre; agno; fecha_bbdd; codigo_bbdd; grado; rbd; dvrbd; nom_rbd; nom_reg_rbd; cod_reg_rbd; cod_pro_rbd; nom_pro_rbd; cod_com_rbd; nom_com_rbd; nom_deprov_rbd; cod_reg_rbd_2014; nom_reg_rbd_2014; cod_pro_rbd_2014; nom_pro_rbd_2014; cod_com_rbd_2014; nom_com_rbd_2014; nom_deprov_rbd_2014; cod_depe1; cod_depe2; cod_grupo; cod_rural_rbd; nalu_lect2m_rbd; nalu_mate2m_rbd; nalu_nat2m_rbd; prom_lect2m_rbd; prom_mate2m_rbd; prom_nat2m_rbd; dif_lect2m_rbd; dif_mate2m_rbd; difgru_lect2m_rbd; difgru_mate2m_rbd; difgru_nat2m_rbd; sigdif_lect2m_rbd; sigdif_mate2m_rbd; siggru_lect2m_rbd; siggru_mate2m_rbd; siggru_nat2m_rbd; marca_lect2m_rbd; marca_mate2m_rbd; marca_nat2m_rbd; marcadif_lect2m_rbd; marcadif_mate2m_rbd; palu_eda_ins_lect2m_rbd; palu_eda_ele_lect2m_rbd; palu_eda_ade_lect2m_rbd; palu_eda_ins_mate2m_rbd; palu_eda_ele_mate2m_rbd; palu_eda_ade_mate2m_rbd; marca_eda_lect2m_rbd; marca_eda_mate2m_rbd; noaplica
2° medio,2015,simce2m2015_GLOSAS_PUBLICA_WEB-2.xlsx,_rbd,55,Nombre archivo; Descripción; Número de variables; Número de observaciones; Variables; Nombre; agno; fecha_bbdd; codigo_bbdd; grado; rbd; dvrbd; nom_rbd; cod_reg_rbd; nom_reg_rbd; cod_pro_rbd; nom_pro_rbd; cod_deprov_rbd; cod_com_rbd; nom_com_rbd; nom_deprov_rbd; cod_depe1; cod_depe2; cod_grupo; cod_rural_rbd; nalu_lect2m_rbd; nalu_mate2m_rbd; nalu_soc2m_rbd; prom_lect2m_rbd; prom_mate2m_rbd; prom_soc2m_rbd; dif_lect2m_rbd; dif_mate2m_rbd; dif_soc2m_rbd; difgru_lect2m_rbd; difgru_mate2m_rbd; difgru_soc2m_rbd; sigdif_lect2m_rbd; sigdif_mate2m_rbd; sigdif_soc2m_rbd; siggru_lect2m_rbd; siggru_mate2m_rbd; siggru_soc2m_rbd; marca_lect2m_rbd; marca_mate2m_rbd; marca_soc2m_rbd; marcadif_lect2m_rbd; marcadif_mate2m_rbd; palu_eda_ins_lect2m_rbd; palu_eda_ele_lect2m_rbd; palu_eda_ade_lect2m_rbd; palu_eda_ins_mate2m_rbd; palu_eda_ele_mate2m_rbd; palu_eda_ade_mate2m_rbd; noaplica
2° medio,2016,simce2m2016_GLOSAS_PUBLICA_WEB-3.xlsx,_rbd,55,Nombre archivo; Descripción; Número de variables; Número de observaciones; Variables; Nombre; agno; fecha_bbdd; codigo_bbdd; grado; rbd; dvrbd; nom_rbd; cod_reg_rbd; nom_reg_rbd; cod_pro_rbd; nom_pro_rbd; cod_com_rbd; nom_com_rbd; nom_deprov_rbd; cod_depe1; cod_depe2; cod_grupo; cod_rural_rbd; nalu_lect2m_rbd; nalu_mate2m_rbd; nalu_nat2m_rbd; prom_lect2m_rbd; prom_mate2m_rbd; prom_nat2m_rbd; dif_lect2m_rbd; dif_mate2m_rbd; dif_nat2m_rbd; difgru_lect2m_rbd; difgru_mate2m_rbd; difgru_nat2m_rbd; sigdif_lect2m_rbd; sigdif_mate2m_rbd; sigdif_nat2m_rbd; siggru_lect2m_rbd; siggru_mate2m_rbd; siggru_nat2m_rbd; marca_lect2m_rbd; marca_mate2m_rbd; marca_nat2m_rbd; marcadif_lect2m_rbd; marcadif_mate2m_rbd; marcadif_nat2m_rbd; palu_eda_ins_lect2m_rbd; palu_eda_ele_lect2m_rbd; palu_eda_ade_lect2m_rbd; palu_eda_ins_mate2m_rbd; palu_eda_ele_mate2m_rbd; palu_eda_ade_mate2m_rbd; noaplica
2° medio,2017,simce2m2017_GLOSAS_PUBLICAS_WEB-4.xlsx,rbd,55,Nombre archivo; Descripción; Número de variables; Número de observaciones; Variables; Nombre; agno; fecha_bbdd; codigo_bbdd; grado; rbd; dvrbd; nom_rbd; cod_reg_rbd; nom_reg_rbd; cod_pro_rbd; nom_pro_rbd; cod_com_rbd; nom_com_rbd; nom_deprov_rbd; cod_depe1; cod_depe2; cod_grupo; cod_rural_rbd; nalu_lect2m_rbd; nalu_mate2m_rbd; nalu_soc2m_rbd; prom_lect2m_rbd; prom_soc2m_rbd; prom_mate2m_rbd; dif_lect2m_rbd; dif_mate2m_rbd; dif_soc2m_rbd; difgru_lect2m_rbd; difgru_mate2m_rbd; difgru_soc2m_rbd; sigdif_lect2m_rbd; sigdif_mate2m_rbd; sigdif_soc2m_rbd; siggru_lect2m_rbd; siggru_soc2m_rbd; siggru_mate2m_rbd; marca_lect2m_rbd; marca_mate2m_rbd; marca_soc2m_rbd; marcadif_lect2m_rbd; marcadif_mate2m_rbd; marcadif_soc2m_rbd; palu_eda_ins_lect2m_rbd; palu_eda_ele_lect2m_rbd; palu_eda_ade_lect2m_rbd; palu_eda_ins_mate2m_rbd; palu_eda_ele_mate2m_rbd; palu_eda_ade_mate2m_rbd; noaplica
2° medio,2018,simce2m2018_GLOSAS_PUBLICAS_WEB-5.xlsx,rbd,71,Nombre archivo; Descripción; Número de variables; Número de observaciones; Variables; Nombre; agno; fecha_bbdd; codigo_bbdd; grado; rbd; dvrbd; nom_rbd; cod_reg_rbd; nom_reg_rbd; cod_pro_rbd; nom_pro_rbd; cod_com_rbd; nom_com_rbd; nom_deprov_rbd; cod_deprov_rbd; cod_depe1; cod_depe2; cod_grupo; cod_rural_rbd; nalu_lect2m_rbd; nalu_mate2m_rbd; nalu_soc2m_rbd; prom_lect2m_rbd; prom_soc2m_rbd; prom_mate2m_rbd; dif_lect2m_rbd; dif_mate2m_rbd; dif_soc2m_rbd; difgru_lect2m_rbd; difgru_mate2m_rbd; difgru_soc2m_rbd; sigdif_lect2m_rbd; sigdif_mate2m_rbd; sigdif_soc2m_rbd; siggru_lect2m_rbd; siggru_soc2m_rbd; siggru_mate2m_rbd; marca_lect2m_rbd; marca_mate2m_rbd; marca_soc2m_rbd; marcadif_lect2m_rbd; marcadif_mate2m_rbd; marcadif_soc2m_rbd; palu_eda_ins_lect2m_rbd; palu_eda_ele_lect2m_rbd; palu_eda_ade_lect2m_rbd; palu_eda_ins_mate2m_rbd; palu_eda_ele_mate2m_rbd; palu_eda_ade_mate2m_rbd; noaplica; Tabla 1. Dependencia administrativa; 1; 2; 3; 4; 5; 6; Tabla 2. Dependencia administrativa; Tabla 3. Codigo de grupo socioeconómico; Tabla 4. Índice de ruralidad del establecimiento; Tabla 5. Marca: Observaciones al puntaje; Valor; Tabla 6. Marca: Observaciones a las diferencias del puntaje; Tabla 7. No Aplica; 0
2° medio,2022,simce2m2022_GLOSAS-_Publicas_Web-6.xlsx,_rbd,66,Nombre archivo; Descripción; Número de variables; Número de observaciones; Variables; Nombre; agno; fecha_bbdd; codigo_bbdd; grado; rbd; dvrbd; nom_rbd; cod_reg_rbd; nom_reg_rbd; cod_pro_rbd; nom_pro_rbd; cod_com_rbd; nom_com_rbd; cod_deprov_rbd; nom_deprov_rbd; cod_depe1; cod_depe2; cod_grupo; cod_rural_rbd; nalu_lect2m_rbd; nalu_mate2m_rbd; prom_lect2m_rbd; prom_mate2m_rbd; dif_lect2m_rbd; dif_mate2m_rbd; difgru_lect2m_rbd; difgru_mate2m_rbd; sigdif_lect2m_rbd; sigdif_mate2m_rbd; siggru_lect2m_rbd; siggru_mate2m_rbd; marca_lect2m_rbd; marca_mate2m_rbd; marcadif_lect2m_rbd; marcadif_mate2m_rbd; palu_eda_ins_lect2m_rbd; palu_eda_ele_lect2m_rbd; palu_eda_ade_lect2m_rbd; palu_eda_ins_mate2m_rbd; palu_eda_ele_mate2m_rbd; palu_eda_ade_mate2m_rbd; noaplica; Dependencia 1; Valor; 1; 2; 3; 4; 5; 6; Dependencia 2; GSE; Ruralidad; Marca: Observaciones al puntaje; Marca: Observaciones a las diferencias del puntaje; Significancia; 0; -1; No Aplica; 7
2° medio,2023,simce2m2023_GLOSAS-_Web_final-7.xlsx,_rbd,66,Nombre archivo; Descripción; Número de variables; Número de observaciones; Variables; Nombre; agno; fecha_bbdd; codigo_bbdd; grado; rbd; dvrbd; nom_rbd; cod_reg_rbd; nom_reg_rbd; cod_pro_rbd; nom_pro_rbd; cod_com_rbd; nom_com_rbd; cod_deprov_rbd; nom_deprov_rbd; cod_depe1; cod_depe2; cod_grupo; cod_rural_rbd; nalu_lect2m_rbd; nalu_mate2m_rbd; prom_lect2m_rbd; prom_mate2m_rbd; dif_lect2m_rbd; dif_mate2m_rbd; difgru_lect2m_rbd; difgru_mate2m_rbd; sigdif_lect2m_rbd; sigdif_mate2m_rbd; siggru_lect2m_rbd; siggru_mate2m_rbd; marca_lect2m_rbd; marca_mate2m_rbd; marcadif_lect2m_rbd; marcadif_mate2m_rbd; palu_eda_ins_lect2m_rbd; palu_eda_ele_lect2m_rbd; palu_eda_ade_lect2m_rbd; palu_eda_ins_mate2m_rbd; palu_eda_ele_mate2m_rbd; palu_eda_ade_mate2m_rbd; noaplica; Dependencia 1; Valor; 1; 2; 3; 4; 5; 6; Dependencia 2; GSE; Ruralidad; Marca: Observaciones al puntaje; Marca: Observaciones a las diferencias del puntaje; Significancia; 0; -1; No Aplica; 7
2° medio,2024,simce2m2024_GLOSAS_web_final-8.xlsx,_rbd,66,Nombre archivo; Descripción; Número de variables; Número de observaciones; Variables; Nombre; rbd; dvrbd; nom_rbd; cod_reg_rbd; nom_reg_rbd; cod_pro_rbd; nom_pro_rbd; cod_com_rbd; nom_com_rbd; cod_deprov_rbd; nom_deprov_rbd; cod_depe1; cod_depe2; cod_grupo; cod_rural_rbd; nalu_lect2m_rbd; nalu_mate2m_rbd; prom_lect2m_rbd; prom_mate2m_rbd; dif_lect2m_rbd; dif_mate2m_rbd; difgru_lect2m_rbd; difgru_mate2m_rbd; sigdif_lect2m_rbd; sigdif_mate2m_rbd; siggru_lect2m_rbd; siggru_mate2m_rbd; marca_lect2m_rbd; marca_mate2m_rbd; marcadif_lect2m_rbd; marcadif_mate2m_rbd; palu_eda_ins_lect2m_rbd; palu_eda_ele_lect2m_rbd; palu_eda_ade_lect2m_rbd; palu_eda_ins_mate2m_rbd; palu_eda_ele_mate2m_rbd; palu_eda_ade_mate2m_rbd; noaplica; codigo_bbdd; fecha_bbdd; grado; agno; Dependencia 1; Valor; 1; 2; 3; 4; 5; 6; Dependencia 2; GSE; Ruralidad; Marca: Observaciones al puntaje; Marca: Observaciones a las diferencias del puntaje; Significancia; 0; -1; No aplica; 7
2° medio,2025,simce2m2025_GLOSAS_web_entrega-9.xlsx,_rbd,66,Nombre archivo; Descripción; Número de variables; Número de observaciones; Variables; Nombre; rbd; dvrbd; nom_rbd; cod_reg_rbd; nom_reg_rbd; cod_pro_rbd; nom_pro_rbd; cod_com_rbd; nom_com_rbd; cod_deprov_rbd; nom_deprov_rbd; cod_depe1; cod_depe2; cod_grupo; cod_rural_rbd; nalu_lect2m_rbd; nalu_mate2m_rbd; prom_lect2m_rbd; prom_mate2m_rbd; dif_lect2m_rbd; dif_mate2m_rbd; difgru_lect2m_rbd; difgru_mate2m_rbd; sigdif_lect2m_rbd; sigdif_mate2m_rbd; siggru_lect2m_rbd; siggru_mate2m_rbd; marca_lect2m_rbd; marca_mate2m_rbd; marcadif_lect2m_rbd; marcadif_mate2m_rbd; palu_eda_ins_lect2m_rbd; palu_eda_ele_lect2m_rbd; palu_eda_ade_lect2m_rbd; palu_eda_ins_mate2m_rbd; palu_eda_ele_mate2m_rbd; palu_eda_ade_mate2m_rbd; noaplica; codigo_bbdd; fecha_bbdd; grado; agno; Dependencia 1; Valor; 1; 2; 3; 4; 5; 6; Dependencia 2; GSE; Ruralidad; Marca: Observaciones al puntaje; Marca: Observaciones a las diferencias del puntaje; Significancia; 0; -1; No aplica; 7
4° básico,2014,simce4b2014_GLOSAS-PUBLICA_WEB-10.xlsx,_rbd,68,Nombre archivo; Descripción; Número de variables; Número de observaciones; Variables; Nombre; agno; fecha_bbdd; codigo_bbdd; grado; rbd; dvrbd; nom_rbd; cod_reg_rbd; nom_reg_rbd; cod_pro_rbd; nom_pro_rbd; cod_com_rbd; nom_com_rbd; nom_deprov_rbd; cod_reg_rbd_2014; nom_reg_rbd_2014; cod_pro_rbd_2014; nom_pro_rbd_2014; cod_com_rbd_2014; nom_com_rbd_2014; nom_deprov_rbd_2014; cod_depe1; cod_depe2; cod_grupo; cod_rural_rbd; nalu_lect4b_rbd; nalu_mate4b_rbd; nalu_soc4b_rbd; prom_lect4b_rbd; prom_mate4b_rbd; prom_soc4b_rbd; dif_lect4b_rbd; dif_mate4b_rbd; dif_soc4b_rbd; difgru_lect4b_rbd; difgru_mate4b_rbd; difgru_soc4b_rbd; sigdif_lect4b_rbd; sigdif_mate4b_rbd; sigdif_soc4b_rbd; siggru_lect4b_rbd; siggru_mate4b_rbd; siggru_soc4b_rbd; palu_eda_ins_lect4b_rbd; palu_eda_ele_lect4b_rbd; palu_eda_ade_lect4b_rbd; palu_eda_ins_mate4b_rbd; palu_eda_ele_mate4b_rbd; palu_eda_ade_mate4b_rbd; palu_eda_ins_soc4b_rbd; palu_eda_ele_soc4b_rbd; palu_eda_ade_soc4b_rbd; marca_lect4b_rbd; marca_mate4b_rbd; marca_soc4b_rbd; marcadif_lect4b_rbd; marcadif_mate4b_rbd; marcadif_soc4b_rbd; marca_eda_lect4b_rbd; marca_eda_mate4b_rbd; marca_eda_soc4b_rbd; noaplica
4° básico,2015,simce4b2015_GLOSAS_PUBLICA_WEB-11.xlsx,_rbd,48,Nombre archivo; Descripción; Número de variables; Número de observaciones; Variables; Nombre; agno; fecha_bbdd; codigo_bbdd; grado; rbd; dvrbd; nom_rbd; cod_reg_rbd; nom_reg_rbd; cod_pro_rbd; nom_pro_rbd; cod_com_rbd; nom_com_rbd; nom_deprov_rbd; cod_deprov_rbd; cod_depe1; cod_depe2; cod_grupo; cod_rural_rbd; nalu_lect4b_rbd; nalu_mate4b_rbd; prom_lect4b_rbd; prom_mate4b_rbd; dif_lect4b_rbd; dif_mate4b_rbd; difgru_lect4b_rbd; difgru_mate4b_rbd; sigdif_lect4b_rbd; sigdif_mate4b_rbd; siggru_lect4b_rbd; siggru_mate4b_rbd; palu_eda_ins_lect4b_rbd; palu_eda_ele_lect4b_rbd; palu_eda_ade_lect4b_rbd; palu_eda_ins_mate4b_rbd; palu_eda_ele_mate4b_rbd; palu_eda_ade_mate4b_rbd; marca_lect4b_rbd; marca_mate4b_rbd; marcadif_lect4b_rbd; marcadif_mate4b_rbd; noaplica
4° básico,2016,simce4b2016_GLOSAS_PUBLICA_WEB-12.xlsx,_rbd,47,Nombre archivo; Descripción; Número de variables; Número de observaciones; Variables; Nombre; agno; fecha_bbdd; codigo_bbdd; grado; rbd; dvrbd; nom_rbd; cod_reg_rbd; nom_reg_rbd; cod_pro_rbd; nom_pro_rbd; cod_com_rbd; nom_com_rbd; nom_deprov_rbd; cod_depe1; cod_depe2; cod_grupo; cod_rural_rbd; nalu_lect4b_rbd; nalu_mate4b_rbd; prom_lect4b_rbd; prom_mate4b_rbd; dif_lect4b_rbd; dif_mate4b_rbd; difgru_lect4b_rbd; difgru_mate4b_rbd; sigdif_lect4b_rbd; sigdif_mate4b_rbd; siggru_lect4b_rbd; siggru_mate4b_rbd; marca_lect4b_rbd; marca_mate4b_rbd; marcadif_lect4b_rbd; marcadif_mate4b_rbd; palu_eda_ins_lect4b_rbd; palu_eda_ele_lect4b_rbd; palu_eda_ade_lect4b_rbd; palu_eda_ins_mate4b_rbd; palu_eda_ele_mate4b_rbd; palu_eda_ade_mate4b_rbd; noaplica
4° básico,2017,simce4b2017_GLOSAS_PUBLICAS_WEB-13.xlsx,rbd,63,Nombre archivo; Descripción; Número de variables; Número de observaciones; Variables; Nombre; agno; fecha_bbdd; codigo_bbdd; grado; rbd; dvrbd; nom_rbd; cod_reg_rbd; nom_reg_rbd; cod_pro_rbd; nom_pro_rbd; cod_com_rbd; nom_com_rbd; cod_depe1; cod_depe2; cod_grupo; cod_rural_rbd; nalu_lect4b_rbd; nalu_mate4b_rbd; prom_lect4b_rbd; prom_mate4b_rbd; dif_lect4b_rbd; dif_mate4b_rbd; difgru_lect4b_rbd; difgru_mate4b_rbd; sigdif_lect4b_rbd; sigdif_mate4b_rbd; siggru_lect4b_rbd; siggru_mate4b_rbd; marca_lect4b_rbd; marca_mate4b_rbd; marcadif_lect4b_rbd; marcadif_mate4b_rbd; palu_eda_ins_lect4b_rbd; palu_eda_ele_lect4b_rbd; palu_eda_ade_lect4b_rbd; palu_eda_ins_mate4b_rbd; palu_eda_ele_mate4b_rbd; palu_eda_ade_mate4b_rbd; noaplica; Dependencia 1; Valor; 1; 2; 3; 4; 5; Dependencia 2; GSE; Ruralidad; Marca: Observaciones al puntaje; Marca: Observaciones a las diferencias del puntaje; Significancia; 0; -1; No Aplica; 6
4° básico,2018,simce4b2018_GLOSAS_PUBLICAS_WEB-14.xlsx,rbd,62,Nombre archivo; Descripción; Número de variables; Número de observaciones; Variables; Nombre; agno; fecha_bbdd; codigo_bbdd; grado; rbd; dvrbd; nom_rbd; cod_reg_rbd; nom_reg_rbd; cod_pro_rbd; nom_pro_rbd; cod_com_rbd; nom_com_rbd; nom_deprov_rbd; cod_depe1; cod_depe2; cod_grupo; cod_rural_rbd; nalu_lect2m_rbd; nalu_mate2m_rbd; prom_lect2m_rbd; prom_mate2m_rbd; dif_lect2m_rbd; dif_mate2m_rbd; difgru_lect2m_rbd; difgru_mate2m_rbd; sigdif_lect2m_rbd; sigdif_mate2m_rbd; siggru_lect2m_rbd; siggru_mate2m_rbd; marca_lect2m_rbd; marca_mate2m_rbd; marcadif_lect2m_rbd; marcadif_mate2m_rbd; palu_eda_ins_lect2m_rbd; palu_eda_ele_lect2m_rbd; palu_eda_ade_lect2m_rbd; palu_eda_ins_mate2m_rbd; palu_eda_ele_mate2m_rbd; palu_eda_ade_mate2m_rbd; noaplica; Tabla 1. Dependencia administrativa; 1; 2; 3; 4; 5; 6; Tabla 2. Dependencia administrativa; Tabla 3. Codigo de grupo socioeconómico; Tabla 4. Código de ruralidad del establecimiento; Tabla 5. Marca: Observaciones al puntaje; Valor; Tabla 6. Marca: Observaciones a las diferencias del puntaje; Tabla 7. No Aplica; 0
4° básico,2022,simce4b2022_GLOSAS-_Publicas_Web-15.xlsx,_rbd,66,Nombre archivo; Descripción; Número de variables; Número de observaciones; Variables; Nombre; agno; fecha_bbdd; codigo_bbdd; grado; rbd; dvrbd; nom_rbd; cod_reg_rbd; nom_reg_rbd; cod_pro_rbd; nom_pro_rbd; cod_com_rbd; nom_com_rbd; cod_deprov_rbd; nom_deprov_rbd; cod_depe1; cod_depe2; cod_grupo; cod_rural_rbd; nalu_lect4b_rbd; nalu_mate4b_rbd; prom_lect4b_rbd; prom_mate4b_rbd; dif_lect4b_rbd; dif_mate4b_rbd; difgru_lect4b_rbd; difgru_mate4b_rbd; sigdif_lect4b_rbd; sigdif_mate4b_rbd; siggru_lect4b_rbd; siggru_mate4b_rbd; marca_lect4b_rbd; marca_mate4b_rbd; marcadif_lect4b_rbd; marcadif_mate4b_rbd; palu_eda_ins_lect4b_rbd; palu_eda_ele_lect4b_rbd; palu_eda_ade_lect4b_rbd; palu_eda_ins_mate4b_rbd; palu_eda_ele_mate4b_rbd; palu_eda_ade_mate4b_rbd; noaplica; Dependencia 1; Valor; 1; 2; 3; 4; 5; 6; Dependencia 2; GSE; Ruralidad; Marca: Observaciones al puntaje; Marca: Observaciones a las diferencias del puntaje; Significancia; 0; -1; No aplica; 7
4° básico,2023,simce4b2023_GLOSAS-_Web_final-16.xlsx,_rbd,66,Nombre archivo; Descripción; Número de variables; Número de observaciones; Variables; Nombre; agno; fecha_bbdd; codigo_bbdd; grado; rbd; dvrbd; nom_rbd; cod_reg_rbd; nom_reg_rbd; cod_pro_rbd; nom_pro_rbd; cod_com_rbd; nom_com_rbd; cod_deprov_rbd; nom_deprov_rbd; cod_depe1; cod_depe2; cod_grupo; cod_rural_rbd; nalu_lect4b_rbd; nalu_mate4b_rbd; prom_lect4b_rbd; prom_mate4b_rbd; dif_lect4b_rbd; dif_mate4b_rbd; difgru_lect4b_rbd; difgru_mate4b_rbd; sigdif_lect4b_rbd; sigdif_mate4b_rbd; siggru_lect4b_rbd; siggru_mate4b_rbd; marca_lect4b_rbd; marca_mate4b_rbd; marcadif_lect4b_rbd; marcadif_mate4b_rbd; palu_eda_ins_lect4b_rbd; palu_eda_ele_lect4b_rbd; palu_eda_ade_lect4b_rbd; palu_eda_ins_mate4b_rbd; palu_eda_ele_mate4b_rbd; palu_eda_ade_mate4b_rbd; noaplica; Dependencia 1; Valor; 1; 2; 3; 4; 5; 6; Dependencia 2; GSE; Ruralidad; Marca: Observaciones al puntaje; Marca: Observaciones a las diferencias del puntaje; Significancia; 0; -1; No aplica; 7
4° básico,2024,simce4b2024_GLOSAS_web_final-17.xlsx,_rbd,66,Nombre archivo; Descripción; Número de variables; Número de observaciones; Variables; Nombre; rbd; dvrbd; nom_rbd; cod_reg_rbd; nom_reg_rbd; cod_pro_rbd; nom_pro_rbd; cod_com_rbd; nom_com_rbd; cod_deprov_rbd; nom_deprov_rbd; cod_depe1; cod_depe2; cod_grupo; cod_rural_rbd; nalu_lect4b_rbd; nalu_mate4b_rbd; prom_lect4b_rbd; prom_mate4b_rbd; dif_lect4b_rbd; dif_mate4b_rbd; difgru_lect4b_rbd; difgru_mate4b_rbd; sigdif_lect4b_rbd; sigdif_mate4b_rbd; siggru_lect4b_rbd; siggru_mate4b_rbd; marca_lect4b_rbd; marca_mate4b_rbd; marcadif_lect4b_rbd; marcadif_mate4b_rbd; palu_eda_ins_lect4b_rbd; palu_eda_ele_lect4b_rbd; palu_eda_ade_lect4b_rbd; palu_eda_ins_mate4b_rbd; palu_eda_ele_mate4b_rbd; palu_eda_ade_mate4b_rbd; noaplica; codigo_bbdd; fecha_bbdd; grado; agno; Dependencia 1; Valor; 1; 2; 3; 4; 5; 6; Dependencia 2; GSE; Ruralidad; Marca: Observaciones al puntaje; Marca: Observaciones a las diferencias del puntaje; Significancia; 0; -1; No aplica; 7
4° básico,2025,simce4b2025_GLOSAS_web_entrega-18.xlsx,_rbd,66,Nombre archivo; Descripción; Número de variables; Número de observaciones; Variables; Nombre; rbd; dvrbd; nom_rbd; cod_reg_rbd; nom_reg_rbd; cod_pro_rbd; nom_pro_rbd; cod_com_rbd; nom_com_rbd; cod_deprov_rbd; nom_deprov_rbd; cod_depe1; cod_depe2; cod_grupo; cod_rural_rbd; nalu_lect4b_rbd; nalu_mate4b_rbd; prom_lect4b_rbd; prom_mate4b_rbd; dif_lect4b_rbd; dif_mate4b_rbd; difgru_lect4b_rbd; difgru_mate4b_rbd; sigdif_lect4b_rbd; sigdif_mate4b_rbd; siggru_lect4b_rbd; siggru_mate4b_rbd; marca_lect4b_rbd; marca_mate4b_rbd; marcadif_lect4b_rbd; marcadif_mate4b_rbd; palu_eda_ins_lect4b_rbd; palu_eda_ele_lect4b_rbd; palu_eda_ade_lect4b_rbd; palu_eda_ins_mate4b_rbd; palu_eda_ele_mate4b_rbd; palu_eda_ade_mate4b_rbd; noaplica; codigo_bbdd; fecha_bbdd; grado; agno; Dependencia 1; Valor; 1; 2; 3; 4; 5; 6; Dependencia 2; GSE; Ruralidad; Marca: Observaciones al puntaje; Marca: Observaciones a las diferencias del puntaje; Significancia; 0; -1; No aplica; 7
